Metro_area,Main_cities,Population,Violent_crime,Property_crime
"Abilene, TX M.S.A.",NA,169885,NA,NA
NA,"Includes Callahan, Jones, and Taylor Counties",NA,NA,NA
NA,City of Abilene,122523,546,4269
NA,Total area actually reporting,1,614,4932
NA,"Rate per 100,000 inhabitants",NA,361.4,2903.1
"Akron, OH M.S.A.2",NA,703561,NA,NA
NA,Includes Portage and Summit Counties,NA,NA,NA
NA,City of Akron,197257,1216,8646
NA,Total area actually reporting,0.962,1739,17453
NA,Estimated total,1,1781,18043
NA,"Rate per 100,000 inhabitants",NA,253.1,2564.5
"Albany, GA M.S.A.",NA,152566,NA,NA
NA,"Includes Baker, Dougherty, Lee, Terrell, and Worth Counties",NA,NA,NA
NA,City of Albany,74330,873,3620
NA,Total area actually reporting,0.96,1098,5553
NA,Estimated total,1,1121,5753
NA,"Rate per 100,000 inhabitants",NA,734.8,3770.8
"Albany, OR M.S.A.",NA,122030,NA,NA
NA,Includes Linn County,NA,NA,NA
NA,City of Albany,52544,43,1512
NA,Total area actually reporting,1,139,3283
NA,"Rate per 100,000 inhabitants",NA,113.9,2690.3
"Albany-Schenectady-Troy, NY M.S.A.",NA,878166,NA,NA
NA,"Includes Albany, Rensselaer, Saratoga, Schenectady, and Schoharie Counties",NA,NA,NA
NA,City of Albany,98617,848,3461
NA,City of Schenectady,65138,595,2100
NA,City of Troy,49876,362,1792
NA,Total area actually reporting,1,2544,17647
NA,"Rate per 100,000 inhabitants",NA,289.7,2009.5
"Albuquerque, NM M.S.A.",NA,907140,NA,NA
NA,"Includes Bernalillo, Sandoval, Torrance, and Valencia Counties",NA,NA,NA
NA,City of Albuquerque,561560,6245,38528
NA,Total area actually reporting,1,8173,47976
NA,"Rate per 100,000 inhabitants",NA,901,5288.7
"Alexandria, LA M.S.A.",NA,154032,NA,NA
NA,Includes Grant and Rapides Parishes,NA,NA,NA
NA,City of Alexandria,47936,883,4091
NA,Total area actually reporting,0.988,1414,7168
NA,Estimated total,1,1422,7236
NA,"Rate per 100,000 inhabitants",NA,923.2,4697.7
"Allentown-Bethlehem-Easton, PA-NJ M.S.A.3, 4",NA,831770,NA,NA
NA,"Includes Warren County, NJ and Carbon, Lehigh, and Northampton Counties, PA",NA,NA,NA
NA,"City of Allentown, PA",120615,552,3337
NA,"City of Bethlehem, PA3",74869,NA,1487
NA,Total area actually reporting,0.996,NA,NA
NA,Estimated total,1,NA,NA
NA,"Rate per 100,000 inhabitants",NA,NA,NA
"Altoona, PA M.S.A.",NA,124942,NA,NA
NA,Includes Blair County,NA,NA,NA
NA,City of Altoona,45158,156,821
NA,Total area actually reporting,1,266,1698
NA,"Rate per 100,000 inhabitants",NA,212.9,1359
"Amarillo, TX M.S.A.2",NA,263223,NA,NA
NA,"Includes Armstrong, Carson, Oldham, Potter, and Randall Counties",NA,NA,NA
NA,City of Amarillo,200141,1414,9472
NA,Total area actually reporting,1,1560,10352
NA,"Rate per 100,000 inhabitants",NA,592.7,3932.8
"Ames, IA M.S.A.",NA,97202,NA,NA
NA,Includes Story County,NA,NA,NA
NA,City of Ames,66333,107,1077
NA,Total area actually reporting,0.93,141,1517
NA,Estimated total,1,158,1640
NA,"Rate per 100,000 inhabitants",NA,162.5,1687.2
"Anchorage, AK M.S.A.",NA,315641,NA,NA
NA,Includes Anchorage Municipality and Matanuska-Susitna Borough,NA,NA,NA
NA,City of Anchorage,299097,3422,14649
NA,Total area actually reporting,1,3519,15626
NA,"Rate per 100,000 inhabitants",NA,1114.9,4950.6
"Ann Arbor, MI M.S.A.",NA,361440,NA,NA
NA,Includes Washtenaw County,NA,NA,NA
NA,City of Ann Arbor,117688,213,2051
NA,Total area actually reporting,1,1147,5956
NA,"Rate per 100,000 inhabitants",NA,317.3,1647.9
"Anniston-Oxford-Jacksonville, AL M.S.A.",NA,114790,NA,NA
NA,Includes Calhoun County,NA,NA,NA
NA,City of Anniston,22205,735,1712
NA,City of Oxford,17066,63,763
NA,City of Jacksonville,12150,123,501
NA,Total area actually reporting,0.993,1023,3743
NA,Estimated total,1,1027,3768
NA,"Rate per 100,000 inhabitants",NA,894.7,3282.5
"Appleton, WI M.S.A.",NA,234069,NA,NA
NA,Includes Calumet and Outagamie Counties,NA,NA,NA
NA,City of Appleton,74439,208,1294
NA,Total area actually reporting,1,354,3110
NA,"Rate per 100,000 inhabitants",NA,151.2,1328.7
"Asheville, NC M.S.A.3",NA,451305,NA,NA
NA,"Includes Buncombe, Haywood, Henderson, and Madison Counties",NA,NA,NA
NA,City of Asheville,89546,537,4357
NA,Total area actually reporting,0.995,1079,NA
NA,Estimated total,1,1085,NA
NA,"Rate per 100,000 inhabitants",NA,240.4,NA
"Athens-Clarke County, GA M.S.A.",NA,205004,NA,NA
NA,"Includes Clarke, Madison, Oconee, and Oglethorpe Counties",NA,NA,NA
NA,City of Athens-Clarke County,123934,533,4100
NA,Total area actually reporting,1,700,5757
NA,"Rate per 100,000 inhabitants",NA,341.5,2808.2
"Atlanta-Sandy Springs-Roswell, GA M.S.A.",NA,5790619,NA,NA
NA,"Includes Barrow, Bartow, Butts, Carroll, Cherokee, Clayton, Cobb, Coweta, Dawson, DeKalb, Douglas, Fayette, Forsyth, Fulton, Gwinnett, Haralson, Heard, Henry, Jasper, Lamar, Meriwether, Morgan, Newton, Paulding, Pickens, Pike, Rockdale, Spalding, and Walton Counties",NA,NA,NA
NA,City of Atlanta,472579,5121,24804
NA,City of Sandy Springs,107685,117,2837
NA,City of Roswell,95684,143,1702
NA,City of Alpharetta,64943,35,1308
NA,City of Marietta,59516,233,2282
NA,Total area actually reporting,0.997,23275,173043
NA,Estimated total,1,23345,173620
NA,"Rate per 100,000 inhabitants",NA,403.2,2998.3
"Auburn-Opelika, AL M.S.A",NA,160071,NA,NA
NA,Includes Lee County,NA,NA,NA
NA,City of Auburn,63871,210,1125
NA,City of Opelika,30180,221,1476
NA,Total area actually reporting,1,916,4137
NA,"Rate per 100,000 inhabitants",NA,572.2,2584.5
"Augusta-Richmond County, GA-SC M.S.A.",NA,595180,NA,NA
NA,"Includes Burke, Columbia, Lincoln, McDuffie, and Richmond Counties, GA and Aiken and Edgefield Counties, SC",NA,NA,NA
NA,Total area actually reporting,0.999,2039,18754
NA,Estimated total,1,2040,18761
NA,"Rate per 100,000 inhabitants",NA,342.8,3152.2
"Austin-Round Rock, TX M.S.A.",NA,2054651,NA,NA
NA,"Includes Bastrop, Caldwell, Hays, Travis, and Williamson Counties",NA,NA,NA
NA,City of Austin,956911,3903,33545
NA,City of Round Rock,119308,173,2653
NA,Total area actually reporting,0.999,6510,52484
NA,Estimated total,1,6511,52501
NA,"Rate per 100,000 inhabitants",NA,316.9,2555.2
"Bakersfield, CA M.S.A.",NA,884443,NA,NA
NA,Includes Kern County,NA,NA,NA
NA,City of Bakersfield,378788,1821,17138
NA,Total area actually reporting,1,5128,32570
NA,"Rate per 100,000 inhabitants",NA,579.8,3682.5
"Baltimore-Columbia-Towson, MD M.S.A.",NA,2797991,NA,NA
NA,"Includes Anne Arundel, Baltimore, Carroll, Harford, Howard, and Queen Anne's Counties and Baltimore City",NA,NA,NA
NA,City of Baltimore,618385,11010,29547
NA,Total area actually reporting,1,19873,78076
NA,"Rate per 100,000 inhabitants",NA,710.3,2790.4
"Bangor, ME M.S.A.",NA,152658,NA,NA
NA,Includes Penobscot County,NA,NA,NA
NA,City of Bangor,32264,75,1340
NA,Total area actually reporting,1,146,2964
NA,"Rate per 100,000 inhabitants",NA,95.6,1941.6
"Barnstable Town, MA M.S.A.4",NA,213081,NA,NA
NA,Includes Barnstable County,NA,NA,NA
NA,City of Barnstable,43974,199,711
NA,Total area actually reporting,1,NA,3329
NA,"Rate per 100,000 inhabitants",NA,NA,1562.3
"Baton Rouge, LA M.S.A.",NA,833146,NA,NA
NA,"Includes Ascension, East Baton Rouge, East Feliciana, Iberville, Livingston, Pointe Coupee, St. Helena, West Baton Rouge, and West Feliciana Parishes",NA,NA,NA
NA,City of Baton Rouge,228389,2143,9934
NA,Total area actually reporting,0.997,4198,28229
NA,Estimated total,1,4207,28310
NA,"Rate per 100,000 inhabitants",NA,505,3398
"Battle Creek, MI M.S.A",NA,133914,NA,NA
NA,Includes Calhoun County,NA,NA,NA
NA,City of Battle Creek,60904,594,2325
NA,Total area actually reporting,1,1e3,4205
NA,"Rate per 100,000 inhabitants",NA,746.7,3140.1
"Bay City, MI M.S.A.",NA,105209,NA,NA
NA,Includes Bay County,NA,NA,NA
NA,City of Bay City,33725,205,925
NA,Total area actually reporting,1,389,1950
NA,"Rate per 100,000 inhabitants",NA,369.7,1853.5
"Beaumont-Port Arthur, TX M.S.A.2",NA,408167,NA,NA
NA,"Includes Hardin, Jefferson, Newton, and Orange Counties",NA,NA,NA
NA,City of Beaumont,118283,1316,5065
NA,City of Port Arthur,55510,362,1829
NA,Total area actually reporting,0.971,2308,10979
NA,Estimated total,1,2342,11185
NA,"Rate per 100,000 inhabitants",NA,573.8,2740.3
"Beckley, WV M.S.A",NA,121287,NA,NA
NA,Includes Fayette and Raleigh Counties,NA,NA,NA
NA,City of Beckley,16940,214,1278
NA,Total area actually reporting,0.957,491,3144
NA,Estimated total,1,506,3323
NA,"Rate per 100,000 inhabitants",NA,417.2,2739.8
"Bellingham, WA M.S.A",NA,215331,NA,NA
NA,Includes Whatcom County,NA,NA,NA
NA,City of Bellingham,86005,224,4743
NA,Total area actually reporting,1,483,6997
NA,"Rate per 100,000 inhabitants",NA,224.3,3249.4
"Bend-Redmond, OR M.S.A.",NA,180071,NA,NA
NA,Includes Deschutes County,NA,NA,NA
NA,City of Bend,89244,96,2010
NA,City of Redmond,29164,80,973
NA,Total area actually reporting,1,273,3909
NA,"Rate per 100,000 inhabitants",NA,151.6,2170.8
"Billings, MT M.S.A.",NA,170245,NA,NA
NA,"Includes Carbon, Golden Valley, and Yellowstone Counties",NA,NA,NA
NA,City of Billings,111447,514,5216
NA,Total area actually reporting,0.997,641,6141
NA,Estimated total,1,642,6156
NA,"Rate per 100,000 inhabitants",NA,377.1,3616
"Binghamton, NY M.S.A.",NA,243328,NA,NA
NA,Includes Broome and Tioga Counties,NA,NA,NA
NA,City of Binghamton,45780,353,1844
NA,Total area actually reporting,0.997,703,5165
NA,Estimated total,1,704,5177
NA,"Rate per 100,000 inhabitants",NA,289.3,2127.6
"Bismarck, ND M.S.A.",NA,129489,NA,NA
NA,"Includes Burleigh, Morton, Oliver, and Sioux Counties",NA,NA,NA
NA,City of Bismarck,73248,212,2472
NA,Total area actually reporting,1,380,3676
NA,"Rate per 100,000 inhabitants",NA,293.5,2838.9
"Blacksburg-Christiansburg-Radford, VA M.S.A.",NA,181407,NA,NA
NA,"Includes Floyd, Giles, Montgomery, and Pulaski Counties and Radford City",NA,NA,NA
NA,City of Blacksburg,44528,43,409
NA,City of Christiansburg,22134,35,575
NA,City of Radford,17504,83,316
NA,Total area actually reporting,1,359,3051
NA,"Rate per 100,000 inhabitants",NA,197.9,1681.9
"Bloomington, IL M.S.A.",NA,189092,NA,NA
NA,Includes DeWitt and McLean Counties,NA,NA,NA
NA,City of Bloomington,78604,307,1347
NA,Total area actually reporting,0.947,503,2720
NA,Estimated total,1,524,2890
NA,"Rate per 100,000 inhabitants",NA,277.1,1528.4
"Bloomington, IN M.S.A.",NA,166354,NA,NA
NA,Includes Monroe and Owen Counties,NA,NA,NA
NA,City of Bloomington,84772,378,2703
NA,Total area actually reporting,0.876,491,3967
NA,Estimated total,1,520,4207
NA,"Rate per 100,000 inhabitants",NA,312.6,2528.9
"Boise City, ID M.S.A.",NA,693703,NA,NA
NA,"Includes Ada, Boise, Canyon, Gem, and Owyhee Counties",NA,NA,NA
NA,City of Boise,220749,657,5134
NA,Total area actually reporting,1,1693,12282
NA,"Rate per 100,000 inhabitants",NA,244.1,1770.5
"Boston-Cambridge-Newton, MA-NH M.S.A.4",NA,4798657,NA,NA
NA,"Includes the Metropolitan Divisions of Boston, MA; Cambridge-Newton-Framingham, MA; and Rockingham County-Strafford County, NH",NA,NA,NA
NA,"City of Boston, MA",673880,4767,14489
NA,"City of Cambridge, MA",111030,294,2369
NA,"City of Newton, MA",89116,46,642
NA,"City of Framingham, MA",71422,211,831
NA,"City of Waltham, MA",63613,99,688
NA,Total area actually reporting,0.98,NA,65828
NA,Estimated total,1,NA,67153
NA,"Rate per 100,000 inhabitants",NA,NA,1399.4
"Boston, MA M.D.4",NA,1994514,NA,NA
NA,"Includes Norfolk, Plymouth, and Suffolk Counties",NA,NA,NA
NA,Total area actually reporting,0.957,NA,30970
NA,Estimated total,1,NA,32158
NA,"Rate per 100,000 inhabitants",NA,NA,1612.3
"Cambridge-Newton-Framingham, MA M.D.",NA,2373065,NA,NA
NA,Includes Essex and Middlesex Counties,NA,NA,NA
NA,Total area actually reporting,0.997,5562,29097
NA,Estimated total,1,5582,29193
NA,"Rate per 100,000 inhabitants",NA,235.2,1230.2
"Rockingham County-Strafford County, NH M.D.",NA,431078,NA,NA
NA,Includes Rockingham and Strafford Counties,NA,NA,NA
NA,Total area actually reporting,0.992,632,5761
NA,Estimated total,1,637,5802
NA,"Rate per 100,000 inhabitants",NA,147.8,1345.9
"Boulder, CO M.S.A.",NA,324108,NA,NA
NA,Includes Boulder County,NA,NA,NA
NA,City of Boulder,109189,258,3275
NA,Total area actually reporting,1,766,7501
NA,"Rate per 100,000 inhabitants",NA,236.3,2314.4
"Bowling Green, KY M.S.A.",NA,170204,NA,NA
NA,"Includes Allen, Butler, Edmonson, and Warren Counties",NA,NA,NA
NA,City of Bowling Green,64561,204,2773
NA,Total area actually reporting,1,280,3664
NA,"Rate per 100,000 inhabitants",NA,164.5,2152.7
"Bremerton-Silverdale, WA M.S.A.",NA,262877,NA,NA
NA,Includes Kitsap County,NA,NA,NA
NA,City of Bremerton,39862,198,1576
NA,Total area actually reporting,1,680,6993
NA,"Rate per 100,000 inhabitants",NA,258.7,2660.2
"Bridgeport-Stamford-Norwalk, CT M.S.A.",NA,935988,NA,NA
NA,Includes Fairfield County,NA,NA,NA
NA,City of Bridgeport,148180,1115,3258
NA,City of Stamford,130116,351,2073
NA,City of Norwalk,88989,295,1427
NA,City of Danbury,85335,161,1363
NA,City of Stratford,52841,67,1160
NA,Total area actually reporting,1,2151,13423
NA,"Rate per 100,000 inhabitants",NA,229.8,1434.1
"Brownsville-Harlingen, TX M.S.A.",NA,423865,NA,NA
NA,Includes Cameron County,NA,NA,NA
NA,City of Brownsville,185583,448,6028
NA,City of Harlingen,65913,281,2590
NA,Total area actually reporting,1,1607,12101
NA,"Rate per 100,000 inhabitants",NA,379.1,2854.9
"Brunswick, GA M.S.A.",NA,116597,NA,NA
NA,"Includes Brantley, Glynn, and McIntosh Counties",NA,NA,NA
NA,City of Brunswick,16309,164,775
NA,Total area actually reporting,1,434,3520
NA,"Rate per 100,000 inhabitants",NA,372.2,3018.9
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",NA,1127663,NA,NA
NA,Includes Erie and Niagara Counties,NA,NA,NA
NA,City of Buffalo,257446,2857,10599
NA,City of Cheektowaga Town,78100,181,2523
NA,City of Niagara Falls,48675,565,2402
NA,Total area actually reporting,1,4635,27260
NA,"Rate per 100,000 inhabitants",NA,411,2417.4
"Burlington, NC M.S.A.",NA,159667,NA,NA
NA,Includes Alamance County,NA,NA,NA
NA,City of Burlington,52760,392,1833
NA,Total area actually reporting,1,625,3744
NA,"Rate per 100,000 inhabitants",NA,391.4,2344.9
"California-Lexington Park, MD M.S.A.",NA,111930,NA,NA
NA,Includes St. Mary's County,NA,NA,NA
NA,Total area actually reporting,1,227,2075
NA,"Rate per 100,000 inhabitants",NA,202.8,1853.8
"Cape Coral-Fort Myers, FL M.S.A.",NA,720949,NA,NA
NA,Includes Lee County,NA,NA,NA
NA,City of Cape Coral,179631,224,3081
NA,City of Fort Myers,76579,947,2163
NA,Total area actually reporting,1,2562,11637
NA,"Rate per 100,000 inhabitants",NA,355.4,1614.1
"Cape Girardeau, MO-IL M.S.A.",NA,97631,NA,NA
NA,"Includes Alexander County, IL and Bollinger and Cape Girardeau Counties, MO",NA,NA,NA
NA,"City of Cape Girardeau, MO",39738,236,1628
NA,Total area actually reporting,1,469,2342
NA,"Rate per 100,000 inhabitants",NA,480.4,2398.8
"Carson City, NV M.S.A.",NA,54605,NA,NA
NA,Includes Carson City,NA,NA,NA
NA,Total area actually reporting,1,157,995
NA,"Rate per 100,000 inhabitants",NA,287.5,1822.2
"Casper, WY M.S.A.",NA,82870,NA,NA
NA,Includes Natrona County,NA,NA,NA
NA,City of Casper,61343,70,1669
NA,Total area actually reporting,1,168,2081
NA,"Rate per 100,000 inhabitants",NA,202.7,2511.2
"Cedar Rapids, IA M.S.A.4",NA,267187,NA,NA
NA,"Includes Benton, Jones, and Linn Counties",NA,NA,NA
NA,City of Cedar Rapids,131181,387,5019
NA,Total area actually reporting,0.949,566,NA
NA,Estimated total,1,589,NA
NA,"Rate per 100,000 inhabitants",NA,220.4,NA
"Chambersburg-Waynesboro, PA M.S.A.",NA,153940,NA,NA
NA,Includes Franklin County,NA,NA,NA
NA,City of Chambersburg,20770,87,630
NA,City of Waynesboro,10902,29,266
NA,Total area actually reporting,1,221,2281
NA,"Rate per 100,000 inhabitants",NA,143.6,1481.7
"Champaign-Urbana, IL M.S.A.",NA,239184,NA,NA
NA,"Includes Champaign, Ford, and Piatt Counties",NA,NA,NA
NA,City of Champaign,87071,625,2838
NA,City of Urbana,42461,162,1543
NA,Total area actually reporting,0.99,1048,6108
NA,Estimated total,1,1053,6147
NA,"Rate per 100,000 inhabitants",NA,440.2,2570
"Charleston, WV M.S.A.",NA,218036,NA,NA
NA,"Includes Boone, Clay, and Kanawha Counties",NA,NA,NA
NA,City of Charleston,49429,767,3939
NA,Total area actually reporting,0.916,1293,8585
NA,Estimated total,1,1341,9056
NA,"Rate per 100,000 inhabitants",NA,615,4153.4
"Charleston-North Charleston, SC M.S.A.",NA,762454,NA,NA
NA,"Includes Berkeley, Charleston, and Dorchester Counties",NA,NA,NA
NA,City of Charleston,135153,408,3359
NA,City of North Charleston,110490,993,6218
NA,Total area actually reporting,0.995,3170,21566
NA,Estimated total,1,3188,21699
NA,"Rate per 100,000 inhabitants",NA,418.1,2845.9
"Charlottesville, VA M.S.A.",NA,230398,NA,NA
NA,"Includes Albemarle, Buckingham, Fluvanna, Greene, and Nelson Counties and Charlottesville City",NA,NA,NA
NA,City of Charlottesville,46979,245,1228
NA,Total area actually reporting,1,457,3369
NA,"Rate per 100,000 inhabitants",NA,198.4,1462.3
"Chattanooga, TN-GA M.S.A.",NA,551407,NA,NA
NA,"Includes Catoosa, Dade, and Walker Counties, GA and Hamilton, Marion, and Sequatchie Counties, TN",NA,NA,NA
NA,"City of Chattanooga, TN",177801,1819,9752
NA,Total area actually reporting,0.975,2938,17576
NA,Estimated total,1,2982,17926
NA,"Rate per 100,000 inhabitants",NA,540.8,3251
"Cheyenne, WY M.S.A.",NA,97275,NA,NA
NA,Includes Laramie County,NA,NA,NA
NA,City of Cheyenne,64046,172,2427
NA,Total area actually reporting,1,245,2939
NA,"Rate per 100,000 inhabitants",NA,251.9,3021.3
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.2",NA,9523022,NA,NA
NA,"Includes the Metropolitan Divisions of Chicago-Naperville-Arlington Heights, IL; Elgin, IL; Gary, IN; and Lake County-Kenosha County, IL-WI",NA,NA,NA
NA,"City of Chicago, IL",2725153,30126,86960
NA,"City of Naperville, IL",148070,92,1587
NA,"City of Elgin, IL",112886,236,1565
NA,"City of Gary, IN",76556,460,3617
NA,"City of Arlington Heights, IL",76077,58,722
NA,"City of Evanston, IL",75716,130,1671
NA,"City of Schaumburg, IL",74774,74,1685
NA,"City of Skokie, IL",64819,158,1557
NA,"City of Des Plaines, IL",58726,45,537
NA,"City of Hoffman Estates, IL",52177,55,429
NA,Total area actually reporting,0.969,41539,192468
NA,Estimated total,1,42187,198228
NA,"Rate per 100,000 inhabitants",NA,443,2081.6
"Chicago-Naperville-Arlington Heights, IL M.D.2",NA,7318619,NA,NA
NA,"Includes Cook, DuPage, Grundy, Kendall, McHenry, and Will Counties",NA,NA,NA
NA,Total area actually reporting,0.98,37221,156027
NA,Estimated total,1,37530,158528
NA,"Rate per 100,000 inhabitants",NA,512.8,2166.1
"Elgin, IL M.D.",NA,634927,NA,NA
NA,Includes DeKalb and Kane Counties,NA,NA,NA
NA,Total area actually reporting,0.983,1202,8755
NA,Estimated total,1,1225,8943
NA,"Rate per 100,000 inhabitants",NA,192.9,1408.5
"Gary, IN M.D.",NA,700547,NA,NA
NA,"Includes Jasper, Lake, Newton, and Porter Counties",NA,NA,NA
NA,Total area actually reporting,0.846,1652,15338
NA,Estimated total,1,1908,17918
NA,"Rate per 100,000 inhabitants",NA,272.4,2557.7
"Lake County-Kenosha County, IL-WI M.D.",NA,868929,NA,NA
NA,"Includes Lake County, IL and Kenosha County, WI",NA,NA,NA
NA,Total area actually reporting,0.967,1464,12348
NA,Estimated total,1,1524,12839
NA,"Rate per 100,000 inhabitants",NA,175.4,1477.6
"Chico, CA M.S.A.",NA,224973,NA,NA
NA,Includes Butte County,NA,NA,NA
NA,City of Chico,91122,293,3290
NA,Total area actually reporting,1,790,7307
NA,"Rate per 100,000 inhabitants",NA,351.2,3247.9
"Cincinnati, OH-KY-IN M.S.A.",NA,2163182,NA,NA
NA,"Includes Dearborn, Ohio, and Union Counties, IN; Boone, Bracken, Campbell, Gallatin, Grant, Kenton, and Pendleton Counties, KY; and Brown, Butler, Clermont, Hamilton, and Warren Counties, OH",NA,NA,NA
NA,"City of Cincinnati, OH",298880,2720,15382
NA,Total area actually reporting,0.942,5377,54312
NA,Estimated total,1,5566,56602
NA,"Rate per 100,000 inhabitants",NA,257.3,2616.6
"Clarksville, TN-KY M.S.A.",NA,285097,NA,NA
NA,"Includes Christian and Trigg Counties, KY and Montgomery County, TN",NA,NA,NA
NA,"City of Clarksville, TN",152526,935,3853
NA,Total area actually reporting,1,1219,6311
NA,"Rate per 100,000 inhabitants",NA,427.6,2213.6
"Cleveland, TN M.S.A.",NA,121862,NA,NA
NA,Includes Bradley and Polk Counties,NA,NA,NA
NA,City of Cleveland,44423,384,2704
NA,Total area actually reporting,1,624,4102
NA,"Rate per 100,000 inhabitants",NA,512.1,3366.1
"Cleveland-Elyria, OH M.S.A.",NA,2055254,NA,NA
NA,"Includes Cuyahoga, Geauga, Lake, Lorain, and Medina Counties",NA,NA,NA
NA,City of Cleveland,386227,6299,20533
NA,City of Elyria,53633,161,1483
NA,Total area actually reporting,0.853,8691,42264
NA,Estimated total,1,9156,48994
NA,"Rate per 100,000 inhabitants",NA,445.5,2383.8
"Coeur d'Alene, ID M.S.A.",NA,153701,NA,NA
NA,Includes Kootenai County,NA,NA,NA
NA,City of Coeur d'Alene,50155,173,1418
NA,Total area actually reporting,1,356,3568
NA,"Rate per 100,000 inhabitants",NA,231.6,2321.4
"College Station-Bryan, TX M.S.A.",NA,252572,NA,NA
NA,"Includes Brazos, Burleson, and Robertson Counties",NA,NA,NA
NA,City of College Station,110785,245,2290
NA,City of Bryan,83286,420,2552
NA,Total area actually reporting,0.995,833,5969
NA,Estimated total,1,837,6002
NA,"Rate per 100,000 inhabitants",NA,331.4,2376.4
